id,type,category,title,body,active
CA001,今日の注意,メール,宛先確認,メール送信前に、宛先・CC・BCCを必ず確認しましょう。,true
CA002,今日の注意,メール,添付確認,添付ファイルを送る前に、ファイル名と中身が正しいか確認しましょう。,true
CA003,今日の注意,メール,誤送信防止,社外宛メールでは、本文・添付・宛先を一呼吸置いて確認しましょう。,true
CA004,今日の注意,メール,返信範囲,全員返信を使う前に、本当に全員へ共有が必要か確認しましょう。,true
CA005,今日の注意,メール,不審メール,不審なメールのリンクや添付ファイルは、開く前に送信元を確認しましょう。,true
CA006,今日の注意,情報セキュリティ,画面ロック,離席時は短時間でも画面ロックを行いましょう。,true
CA007,今日の注意,情報セキュリティ,パスワード,パスワードをメモに書いて見える場所へ置かないようにしましょう。,true
CA008,今日の注意,情報セキュリティ,共有設定,共有リンクを送る前に、閲覧権限と共有範囲を確認しましょう。,true
CA009,今日の注意,情報セキュリティ,公共Wi-Fi,外出先の通信では、機密情報の扱いに注意しましょう。,true
CA010,今日の注意,情報セキュリティ,端末管理,業務端末を放置せず、紛失・盗難対策を意識しましょう。,true
CA011,今日の注意,個人情報,最小限,個人情報は、必要な範囲だけを利用しましょう。,true
CA012,今日の注意,個人情報,保管,個人情報を含む資料は、定められた場所に保管しましょう。,true
CA013,今日の注意,個人情報,送信前確認,個人情報を含むファイルは、送信先と内容を再確認しましょう。,true
CA014,今日の注意,個人情報,印刷物,個人情報を印刷した資料は、プリンターに放置しないようにしましょう。,true
CA015,今日の注意,個人情報,不要データ,不要になった個人情報は、ルールに沿って削除・廃棄しましょう。,true
CA016,今日の注意,コンプライアンス,SNS,SNS投稿では、会社情報や関係者情報を書かないよう注意しましょう。,true
CA017,今日の注意,コンプライアンス,接待贈答,接待や贈答は、社内規程を確認してから対応しましょう。,true
CA018,今日の注意,コンプライアンス,相談,迷ったときは、独断せず早めに相談しましょう。,true
CA019,今日の注意,コンプライアンス,記録,例外的な対応をした場合は、理由と経緯を記録しましょう。,true
CA020,今日の注意,コンプライアンス,秘密保持,未公開情報を社外やSNSで話題にしないよう注意しましょう。,true
CA021,今日の注意,契約・法務,契約前確認,契約や発注の前に、権限と承認ルートを確認しましょう。,true
CA022,今日の注意,契約・法務,条件確認,金額・納期・支払条件・責任範囲に抜けがないか確認しましょう。,true
CA023,今日の注意,契約・法務,口頭合意,口頭で決まった内容は、メール等で確認を残しましょう。,true
CA024,今日の注意,契約・法務,最新版,契約書や申込書は、最新版の様式か確認しましょう。,true
CA025,今日の注意,契約・法務,印紙,契約書の種類や金額によっては、印紙の要否を確認しましょう。,true
CA026,今日の注意,勤怠,打刻,出退勤や休憩の記録に漏れがないか確認しましょう。,true
CA027,今日の注意,勤怠,残業申請,時間外労働は、社内ルールに沿って申請・承認を確認しましょう。,true
CA028,今日の注意,勤怠,休憩,休憩時間は業務から離れて取得できているか確認しましょう。,true
CA029,今日の注意,勤怠,有給,休暇予定は早めに共有し、業務調整を行いましょう。,true
CA030,今日の注意,勤怠,勤務予定,勤務予定やシフトに変更がある場合は、早めに関係者へ共有しましょう。,true
CA031,今日の注意,安全衛生,通路,通路や非常口の周辺に物を置かないようにしましょう。,true
CA032,今日の注意,安全衛生,体調,体調不良を感じたら、無理をせず早めに共有しましょう。,true
CA033,今日の注意,安全衛生,転倒防止,床の濡れやケーブルの乱れは、転倒リスクにつながります。,true
CA034,今日の注意,安全衛生,消火器,消火器や避難経路の場所を日頃から確認しておきましょう。,true
CA035,今日の注意,安全衛生,長時間作業,長時間のPC作業では、姿勢や休憩を意識しましょう。,true
CA036,今日の注意,業務改善,期限,期限が近いタスクは、進捗と残作業を確認しましょう。,true
CA037,今日の注意,業務改善,手戻り,作業前に目的と完成イメージを確認しましょう。,true
CA038,今日の注意,業務改善,標準化,繰り返し作業は、手順書やチェックリスト化を検討しましょう。,true
CA039,今日の注意,業務改善,属人化,特定の人しか分からない作業は、共有方法を考えましょう。,true
CA040,今日の注意,業務改善,不要作業,慣例で続けている作業は、目的を確認してみましょう。,true
CA041,今日の注意,品質,確認,提出前に、数字・日付・固有名詞を確認しましょう。,true
CA042,今日の注意,品質,ダブルチェック,重要な資料は、第三者確認やチェックリストを活用しましょう。,true
CA043,今日の注意,品質,版管理,ファイルの版数や更新日を分かりやすく管理しましょう。,true
CA044,今日の注意,品質,原因確認,ミスが起きたら、注意不足だけでなく仕組みの問題も確認しましょう。,true
CA045,今日の注意,品質,再発防止,再発防止策は、誰がいつまでに行うか明確にしましょう。,true
CA046,今日の注意,会計,経費,経費精算では、目的・日付・金額・証憑を確認しましょう。,true
CA047,今日の注意,会計,請求書,請求書の宛名・金額・支払期日を確認しましょう。,true
CA048,今日の注意,会計,予算,予算を使う前に、目的と承認状況を確認しましょう。,true
CA049,今日の注意,会計,数字,資料の数字は、単位と期間を明確にしましょう。,true
CA050,今日の注意,会計,証憑,領収書や証憑は、紛失しないよう早めに整理しましょう。,true
CA051,今日の注意,顧客対応,初動,問い合わせには、まず受領したことを早めに伝えましょう。,true
CA052,今日の注意,顧客対応,事実確認,回答前に、事実と推測を分けて確認しましょう。,true
CA053,今日の注意,顧客対応,約束,顧客との約束は、期限と内容を記録しておきましょう。,true
CA054,今日の注意,顧客対応,クレーム,クレーム対応では、感情的にならず事実を整理しましょう。,true
CA055,今日の注意,顧客対応,共有,顧客からの重要な要望は、関係者へ早めに共有しましょう。,true
CA056,今日の注意,取引先対応,依頼,取引先への依頼は、期限と必要情報を明確にしましょう。,true
CA057,今日の注意,取引先対応,変更,条件変更がある場合は、口頭だけでなく記録に残しましょう。,true
CA058,今日の注意,取引先対応,公平性,取引先対応では、公平性と透明性を意識しましょう。,true
CA059,今日の注意,取引先対応,納期,納期に影響が出そうな場合は、早めに共有しましょう。,true
CA060,今日の注意,取引先対応,不当要求,過度な要求を受けた場合は、その場で判断せず相談しましょう。,true
CA061,今日の注意,マネジメント,目的,マネジメントでは、目的が共有されているか確認しましょう。,true
CA062,今日の注意,マネジメント,役割,役割や担当が曖昧な業務は、早めに整理しましょう。,true
CA063,今日の注意,マネジメント,進捗,進捗確認では、遅れの有無だけでなく支援が必要かも確認しましょう。,true
CA064,今日の注意,マネジメント,フィードバック,フィードバックは、事実に基づき具体的に伝えましょう。,true
CA065,今日の注意,マネジメント,判断,判断に迷う案件は、基準と影響範囲を整理しましょう。,true
CA066,今日の注意,会議,目的,会議前に、目的と決めたいことを確認しましょう。,true
CA067,今日の注意,会議,時間,会議では、終了時刻と議題の優先順位を意識しましょう。,true
CA068,今日の注意,会議,発言,発言するときは、事実・意見・提案を分けると伝わりやすくなります。,true
CA069,今日の注意,会議,決定事項,会議後は、決定事項と担当者を確認しましょう。,true
CA070,今日の注意,会議,事前準備,資料は、会議前に必要な人へ共有しておきましょう。,true
CA071,今日の注意,資料作成,対象者,資料は、誰が何を判断するためのものか意識して作りましょう。,true
CA072,今日の注意,資料作成,根拠,主張には、根拠となるデータや事実を添えましょう。,true
CA073,今日の注意,資料作成,表記,日付・単位・用語の表記をそろえましょう。,true
CA074,今日の注意,資料作成,要約,長い資料には、最初に要点をまとめましょう。,true
CA075,今日の注意,資料作成,見直し,提出前に、誤字脱字と数字の整合性を確認しましょう。,true
CA076,今日の注意,IT・DX,データ,データを扱う前に、出所と更新日を確認しましょう。,true
CA077,今日の注意,IT・DX,AI利用,生成AIに機密情報や個人情報を入力しないよう注意しましょう。,true
CA078,今日の注意,IT・DX,システム入力,システム入力では、確定前に内容を確認しましょう。,true
CA079,今日の注意,IT・DX,バックアップ,重要なファイルは、定められた場所に保存しましょう。,true
CA080,今日の注意,IT・DX,権限,不要になったシステム権限は、見直しや削除を検討しましょう。,true
CA081,今日の注意,リスク管理,早期報告,違和感のある事象は、小さいうちに共有しましょう。,true
CA082,今日の注意,リスク管理,影響範囲,問題が起きたときは、影響範囲を早めに確認しましょう。,true
CA083,今日の注意,リスク管理,証跡,判断や対応の証跡を残しておきましょう。,true
CA084,今日の注意,リスク管理,緊急連絡,緊急時の連絡先や手順を確認しておきましょう。,true
CA085,今日の注意,リスク管理,例外対応,例外対応は、理由と承認を明確にしましょう。,true
CA086,今日の注意,チームワーク,共有,進捗や課題は、抱え込まず早めに共有しましょう。,true
CA087,今日の注意,チームワーク,確認,依頼を受けたら、期限と期待成果を確認しましょう。,true
CA088,今日の注意,チームワーク,引き継ぎ,引き継ぎでは、未完了事項と注意点を明確にしましょう。,true
CA089,今日の注意,チームワーク,感謝,協力を受けたら、感謝を言葉にして伝えましょう。,true
CA090,今日の注意,チームワーク,相談,困ったときは、状況・試したこと・相談したい点を整理して相談しましょう。,true
CA091,今日の注意,自己管理,体調,体調や集中力の変化に気づいたら、早めに調整しましょう。,true
CA092,今日の注意,自己管理,休息,忙しい日ほど、短い休憩を意識しましょう。,true
CA093,今日の注意,自己管理,優先順位,今日必ず終えることを明確にしましょう。,true
CA094,今日の注意,自己管理,予定確認,一日の始めに予定と期限を確認しましょう。,true
CA095,今日の注意,自己管理,振り返り,一日の終わりに、完了事項と残課題を整理しましょう。,true
CA096,今日の注意,ハラスメント防止,言動,相手の立場や受け取り方に配慮した言動を心がけましょう。,true
CA097,今日の注意,ハラスメント防止,指導,指導では、人格ではなく行動や事実に焦点を当てましょう。,true
CA098,今日の注意,ハラスメント防止,相談,違和感を覚えたら、早めに相談できる先を確認しましょう。,true
CA099,今日の注意,ハラスメント防止,境界,業務上必要な範囲を超えた私的な関与には注意しましょう。,true
CA100,今日の注意,ハラスメント防止,職場環境,安心して意見を言える職場環境づくりを意識しましょう。,true
