no,category1,category2
1,コミュニケーション・ビジネススキル,報連相
2,コミュニケーション・ビジネススキル,傾聴
3,コミュニケーション・ビジネススキル,質問力
4,コミュニケーション・ビジネススキル,説明力
5,コミュニケーション・ビジネススキル,ビジネス文書・メール
6,コミュニケーション・ビジネススキル,会議運営
7,コミュニケーション・ビジネススキル,ファシリテーション
8,コミュニケーション・ビジネススキル,プレゼンテーション
9,コミュニケーション・ビジネススキル,交渉力
10,コミュニケーション・ビジネススキル,非言語コミュニケーション
11,読解力・思考力,文章理解・要約力
12,読解力・思考力,情報の読み取り
13,読解力・思考力,ロジカルシンキング
14,読解力・思考力,クリティカルシンキング
15,読解力・思考力,仮説思考
16,読解力・思考力,課題分解
17,読解力・思考力,問題発見力
18,読解力・思考力,意思決定
19,読解力・思考力,リーディングスキル
20,キャリア・自己管理,セルフマネジメント
21,キャリア・自己管理,タイムマネジメント
22,キャリア・自己管理,目標設定
23,キャリア・自己管理,自己啓発・学習習慣
24,キャリア・自己管理,キャリア
25,キャリア・自己管理,ストレスマネジメント
26,キャリア・自己管理,メンタルヘルス
27,キャリア・自己管理,健康管理
28,IT・デジタル,IT用語
29,IT・デジタル,OS・ソフトウェア
30,IT・デジタル,デジタルツール
31,IT・デジタル,クラウド
32,IT・デジタル,ネットワーク
33,IT・デジタル,業務システム
34,IT・デジタル,生成AI
35,情報管理・セキュリティ,情報セキュリティ基礎
36,情報管理・セキュリティ,パスワード・認証管理
37,情報管理・セキュリティ,標的型攻撃・フィッシング対策
38,情報管理・セキュリティ,情報漏えい防止
39,情報管理・セキュリティ,個人情報保護
40,情報管理・セキュリティ,SNS利用
41,情報管理・セキュリティ,データガバナンス
42,情報管理・セキュリティ,内部不正防止
43,データ分析・活用,データリテラシー
44,データ分析・活用,統計
45,データ分析・活用,データ可視化
46,データ分析・活用,BIツール
47,データ分析・活用,KPI・指標
48,データ分析・活用,データに基づく意思決定
49,プロジェクト管理,プロジェクト管理
50,プロジェクト管理,タスク管理
51,プロジェクト管理,WBS
52,プロジェクト管理,スケジュール管理
53,プロジェクト管理,進捗管理
54,プロジェクト管理,課題管理
55,プロジェクト管理,リスク管理
56,プロジェクト管理,工数管理
57,プロジェクト管理,ステークホルダーマネジメント
58,業務改善・品質管理,5S
59,業務改善・品質管理,業務標準化
60,業務改善・品質管理,マニュアル整備
61,業務改善・品質管理,業務プロセス設計
62,業務改善・品質管理,ムダ削減
63,業務改善・品質管理,PDCA
64,業務改善・品質管理,QC基礎
65,業務改善・品質管理,品質保証
66,業務改善・品質管理,再発防止
67,経営・戦略,経営理念
68,経営・戦略,経営戦略基礎
69,経営・戦略,SWOT分析
70,経営・戦略,競争戦略
71,経営・戦略,事業ポートフォリオ
72,経営・戦略,中期経営計画
73,経営・戦略,経営指標
74,経営・戦略,企業価値
75,顧客理解・マーケティング,顧客ニーズ分析
76,顧客理解・マーケティング,市場調査
77,顧客理解・マーケティング,STP分析
78,顧客理解・マーケティング,マーケティングミックス
79,顧客理解・マーケティング,カスタマージャーニー
80,顧客理解・マーケティング,CRM・顧客管理
81,顧客理解・マーケティング,顧客満足
82,顧客理解・マーケティング,ブランド
83,顧客理解・マーケティング,広告・販促基礎
84,会計・財務・税務,財務諸表
85,会計・財務・税務,キャッシュフロー
86,会計・財務・税務,収益性・安全性分析
87,会計・財務・税務,原価・コスト
88,会計・財務・税務,管理会計
89,会計・財務・税務,損益分岐点
90,会計・財務・税務,予算管理
91,会計・財務・税務,投資判断
92,会計・財務・税務,税務基礎
93,税金・年末調整,所得税の基本
94,税金・年末調整,住民税の基本
95,税金・年末調整,給与明細と税金
96,税金・年末調整,源泉徴収
97,税金・年末調整,源泉徴収票の見方
98,税金・年末調整,年末調整の基本
99,税金・年末調整,扶養控除等申告書
100,税金・年末調整,扶養控除
101,税金・年末調整,基礎控除・配偶者控除
102,税金・年末調整,保険料控除
103,税金・年末調整,住宅ローン控除
104,税金・年末調整,年末調整の申告ミス防止
105,税金・年末調整,医療費控除と確定申告
106,税金・年末調整,ふるさと納税と寄附金控除
107,税金・年末調整,副業と確定申告
108,社会保険,社会保険の基本
109,社会保険,社会保険の加入要件
110,社会保険,入社時の手続き
111,社会保険,退職時の手続き
112,社会保険,健康保険
113,社会保険,厚生年金保険
114,社会保険,雇用保険
115,社会保険,労災保険
116,社会保険,介護保険
117,社会保険,扶養と社会保険
118,社会保険,保険料の給与控除
119,社会保険,パート・アルバイトの社会保険
120,社会保険,傷病手当金
121,社会保険,出産・育児に関する給付
122,社会保険,介護休業に関する給付
123,勤怠管理,労働時間の基本
124,勤怠管理,始業・終業時刻の記録
125,勤怠管理,休憩時間の管理
126,勤怠管理,時間外労働・残業管理
127,勤怠管理,36協定と残業上限
128,勤怠管理,休日労働・深夜労働
129,勤怠管理,長時間労働と健康管理
130,勤怠管理,勤怠データの確認・修正
131,勤怠管理,勤怠不正・打刻漏れ防止
132,勤怠管理,遅刻・早退・欠勤
133,勤怠管理,有給休暇の管理
134,勤怠管理,シフト勤務・変形労働時間制
135,勤怠管理,フレックスタイム制
136,勤怠管理,テレワーク時の勤怠管理
137,勤怠管理,管理職の勤怠確認責任
138,労務・雇用,労働契約
139,労務・雇用,就業規則
140,労務・雇用,多様な働き方
141,労務・雇用,休職・復職対応
142,労務・雇用,安全衛生
143,労務・雇用,ハラスメント
144,法務・コンプライアンス,コンプライアンス総論
145,法務・コンプライアンス,契約基礎
146,法務・コンプライアンス,会社法
147,法務・コンプライアンス,電子契約
148,法務・コンプライアンス,知的財産権
149,法務・コンプライアンス,著作権
150,法務・コンプライアンス,景品表示・広告規制
151,法務・コンプライアンス,下請・取引適正化
152,法務・コンプライアンス,独占禁止法
153,法務・コンプライアンス,贈収賄・接待交際
154,法務・コンプライアンス,内部通報制度
155,法務・コンプライアンス,国際取引
156,組織・マネジメント,管理職の役割
157,組織・マネジメント,リーダーシップ
158,組織・マネジメント,1on1
159,組織・マネジメント,評価・フィードバック
160,組織・マネジメント,目標管理
161,組織・マネジメント,人材育成
162,組織・マネジメント,権限委譲
163,組織・マネジメント,チームビルディング
164,組織・マネジメント,組織風土
165,リスク管理・危機対応,リスク管理
166,リスク管理・危機対応,事故・トラブル対応
167,リスク管理・危機対応,クレーム対応
168,リスク管理・危機対応,不当要求対応
169,リスク管理・危機対応,情報漏えい対応
170,リスク管理・危機対応,BCP
171,リスク管理・危機対応,災害対応
172,リスク管理・危機対応,レピュテーションリスク
173,リスク管理・危機対応,反社会的勢力対応
174,リスク管理・危機対応,内部統制
175,サステナビリティ・ESG,SDGs
176,サステナビリティ・ESG,CSR
177,サステナビリティ・ESG,ESG経営
178,サステナビリティ・ESG,ガバナンス
179,サステナビリティ・ESG,環境対応
180,サステナビリティ・ESG,脱炭素
181,サステナビリティ・ESG,人権
182,サステナビリティ・ESG,サプライチェーン
183,サステナビリティ・ESG,非財務情報開示
184,グローバル・ダイバーシティ,ダイバーシティ
185,グローバル・ダイバーシティ,多様性と公平性
186,グローバル・ダイバーシティ,インクルージョン
187,グローバル・ダイバーシティ,アンコンシャス・バイアス
188,グローバル・ダイバーシティ,外国人雇用
189,心理・行動,モチベーション
190,心理・行動,認知バイアス
191,心理・行動,意思決定のクセ
192,心理・行動,行動経済学
193,心理・行動,ナッジ
194,心理・行動,習慣化
195,心理・行動,感情コントロール
196,心理・行動,心理的安全性
197,心理・行動,組織心理
198,自社理解,全般
